AVGDINNERPRICE,AVGLUNCHPRICE,City,City Id (Dim City),CITY_ID,City Name,DINNERRATING,FACT_ID,HAS_ONLINE_DELIVERY,HAS_TABLE_BOOKING,Hotel Id (Dm Hotel Tgt),HOTEL_ID,Hotel Name,LAT,LONG_FLD,LUNCHRATING,Number of Records,Speciality2 Id (Dm Speciality Tgt1),SPECIALITY2_ID,Speciality 1,Speciality 2,Speciality Id (Dm Speciality Tgt),SPECIALITY_ID,TOTALRATING,VOTES
6500,2500,Marutamachi,CT10,CT10,Marutamachi,3,11,Yes,No,HT371,HT371,Kyoutotsuyushabuchiriri  ,35,136,51,1,S31,S31,Shabu Shabu Japanese Steamboat,Sukiyaki,SP186,SP186,51,647
35009,2500,Marutamachi,CT10,CT10,Marutamachi,4,12,Yes,No,HT383,HT383,L'ajitto  ,35,136,3,1,S35,S35,Teppanyaki,Okonomiyaki,SP196,SP196,4,3
2500,3500,Marutamachi,CT10,CT10,Marutamachi,3,13,Yes,No,HT43,HT43,Bankokugaden  ,35,136,3,1,S82,S82,Thailand cooking,Thai Curry,SP250,SP250,3,11
1500,1500,Marutamachi,CT10,CT10,Marutamachi,3,14,Yes,Yes,HT464,HT464,Oumiyaseiemon  ,35,136,53,1,S70,S70,European Style Curry,Curry rice,SP252,SP252,54,849
12500,5500,Marutamachi,CT10,CT10,Marutamachi,3,15,Yes,No,HT512,HT512,Rudensu  ,35,136,3,1,S102,S102,Italian,Vegetable dishes,SP183,SP183,3,67
3500,3500,Marutamachi,CT10,CT10,Marutamachi,3,16,Yes,Yes,HT537,HT537,Sanji  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,3,917
4500,1250,Marutamachi,CT10,CT10,Marutamachi,3,17,Yes,No,HT559,HT559,Shou  ,35,136,3,1,S91,S91,Oden,Izakaya,SP199,SP199,3,458
3500,3500,Marutamachi,CT10,CT10,Marutamachi,3,18,Yes,No,HT586,HT586,Sumibikushiyakitsujiya  ,35,136,3,1,S91,S91,YakitoriGrilledChicken,Izakaya,SP232,SP232,3,548
3500,3550,Marutamachi,CT10,CT10,Marutamachi,3,19,Yes,No,HT766,HT766,kamanzanijoumarufuku  ,35,136,3,1,S101,S101,Izakaya,Tempura,SP258,SP258,3,214
35009,5500,Marutamachi,CT10,CT10,Marutamachi,54,20,Yes,No,HT781,HT781,kyouryourikaji  ,35,136,51,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,56,555
4500,3500,Marutamachi,CT10,CT10,Marutamachi,3,21,Yes,No,HT814,HT814,nikudokoroikkou  ,35,136,3,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,3,393
4500,1500,Marutamachi,CT10,CT10,Marutamachi,3,22,Yes,No,HT826,HT826,ottimo  ,35,136,53,1,S32,S32,Italian,Pasta,SP183,SP183,3,160
4500,1500,Marutamachi,CT10,CT10,Marutamachi,4,23,Yes,No,HT852,HT852,sute-kihausupondo  ,35,136,3,1,S72,S72,Steak,Hamburger Steak,SP221,SP221,4,136
3500,1250,Jujo,CT11,CT11,Jujo,3,24,Yes,Yes,HT148,HT148,Gokyou  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,30
3500,3500,Jujo,CT11,CT11,Jujo,3,25,Yes,No,HT150,HT150,Gori's Kitchen  ,35,136,3,1,S45,S45,Italian,Pizza,SP183,SP183,3,29
4500,3700,Jujo,CT11,CT11,Jujo,2,26,Yes,No,HT463,HT463,Oumigyuuyakinikumeitokuya  ,35,136,3,1,S17,S17,Yakiniku BBQ Beef,Seafood,SP219,SP219,2,161
4500,3550,Fushimi,CT12,CT12,Fushimi,3,27,Yes,No,HT639,HT639,Teppou  ,35,136,3,1,S6,S6,Izakaya,Hot Pot,SP258,SP258,3,430
3500,3500,Fushimi,CT12,CT12,Fushimi,4,28,Yes,Yes,HT767,HT767,karubidontosundoufusemmontenkandon  ,35,136,4,1,S40,S40,Korean cuisine,Ramen,SP263,SP263,3,176
6500,2500,Fushimi,CT12,CT12,Fushimi,4,29,Yes,No,HT837,HT837,sakanaryouritosakeshinsengumi  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,4,332
2500,3550,Fushimi,CT12,CT12,Fushimi,3,30,Yes,No,HT878,HT878,yakinikuyaruki  ,35,136,3,1,S91,S91,Yakiniku BBQ Beef,Izakaya,SP219,SP219,3,422
3500,3700,Keihan Yamashi2.76,CT13,CT13,Keihan Yamashi2.76,3,31,Yes,No,HT417,HT417,Momojirou  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,3,290
3500,3700,Nishioji Oike,CT14,CT14,Nishioji Oike,3,32,Yes,No,HT173,HT173,Hanatanuki  ,35,136,3,1,S35,S35,Izakaya,Okonomiyaki,SP258,SP258,3,6
17500,17500,Kurama,CT15,CT15,Kurama,59,33,Yes,No,HT182,HT182,Hiroya  ,35,136,57,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,59,249
12500,3500,Kurama,CT15,CT15,Kurama,51,34,Yes,No,HT288,HT288,Kifunekiraku  ,35,136,3,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,52,1
12500,6500,Kurama,CT15,CT15,Kurama,51,35,Yes,Yes,HT289,HT289,Kifuneugenta  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,54,353
6500,6500,Kurama,CT15,CT15,Kurama,3,36,Yes,Yes,HT768,HT768,kibunebeniya  ,35,136,51,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,54,25
1500,1250,Kurama,CT15,CT15,Kurama,3,37,Yes,No,HT86,HT86,Dembei  ,35,136,3,1,S9,S9,Soba,Kamameshi Clay Pot Rice,SP202,SP202,4,88
3500,1500,Matsugasaki,CT17,CT17,Matsugasaki,3,38,Yes,No,HT830,HT830,pino  ,35,136,3,1,S14,S14,Italian,Cafe,SP183,SP183,3,12
3500,1500,Matsugasaki,CT17,CT17,Matsugasaki,3,39,Yes,Yes,HT849,HT849,supeimbarurapaera  ,35,136,4,1,S43,S43,Spain,Bar,SP220,SP220,4,85
4500,1500,Matsugasaki,CT17,CT17,Matsugasaki,3,40,Yes,No,HT94,HT94,Erudoru  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,485
3500,1250,Nishioji,CT18,CT18,Nishioji,4,41,Yes,Yes,HT265,HT265,Kankokusakuratei  ,35,136,4,1,S53,S53,Yakiniku BBQ Beef,Creative cuisine,SP219,SP219,4,123
3500,1250,Nishioji,CT18,CT18,Nishioji,4,42,Yes,No,HT407,HT407,Miho  ,35,136,3,1,S57,S57,Izakaya,Cuisine,SP258,SP258,4,114
3500,1500,Nishioji,CT18,CT18,Nishioji,3,43,Yes,Yes,HT440,HT440,Norakuro  ,35,136,3,1,S92,S92,Italian,Bistro,SP183,SP183,3,7
3500,3500,Nishioji,CT18,CT18,Nishioji,53,44,Yes,Yes,HT716,HT716,burassuri-kontowa-ru  ,35,136,3,1,S92,S92,Izakaya,Bistro,SP258,SP258,53,314
2500,1250,Nishioji,CT18,CT18,Nishioji,3,45,Yes,No,HT728,HT728,eetokodori  ,35,136,3,1,S54,S54,Izakaya,YakitoriGrilledChicken,SP258,SP258,3,535
3500,3500,Ichijoji,CT19,CT19,Ichijoji,58,46,Yes,Yes,HT721,HT721,chuukasobatakayasu  ,35,136,59,1,S87,S87,Ramen,Boneless deep-fried chicken,SP216,SP216,59,237
2500,1250,Ichijoji,CT19,CT19,Ichijoji,3,47,Yes,Yes,HT879,HT879,yakinikuyaruki  ,35,136,3,1,S91,S91,Yakiniku BBQ Beef,Izakaya,SP219,SP219,3,5
3500,3500,Tambaguchi,CT2,CT2,Tambaguchi,3,48,Yes,No,HT13,HT13,Ajinomeimon  ,35,136,3,1,S100,S100,Ramen,Dumplings,SP216,SP216,3,392
6500,2500,Tambaguchi,CT2,CT2,Tambaguchi,3,49,Yes,No,HT164,HT164,Hachisei  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,51
4500,3700,Tambaguchi,CT2,CT2,Tambaguchi,52,50,Yes,Yes,HT17,HT17,Akayashiro  ,35,136,3,1,S47,S47,Horumon BBQ Offel,Yakiniku BBQ Beef,SP260,SP260,52,122
12500,3550,Tambaguchi,CT2,CT2,Tambaguchi,4,51,Yes,No,HT204,HT204,Iharada  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,4,372
4500,3500,Tambaguchi,CT2,CT2,Tambaguchi,3,52,Yes,No,HT481,HT481,REAL NETA DINING ICHIZ  ,35,136,2,1,S91,S91,Italian,Izakaya,SP183,SP183,3,57
3500,1500,Tambaguchi,CT2,CT2,Tambaguchi,2,53,Yes,No,HT664,HT664,Umekoujikorabo  ,35,136,3,1,S32,S32,Italian,Pasta,SP183,SP183,3,456
3500,3700,Tambaguchi,CT2,CT2,Tambaguchi,3,54,Yes,Yes,HT689,HT689,Yakinikusebun  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,917
4500,3700,Tambaguchi,CT2,CT2,Tambaguchi,4,55,Yes,No,HT724,HT724,daikouen  ,35,136,3,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,4,677
1500,1500,Tambaguchi,CT2,CT2,Tambaguchi,3,56,Yes,No,HT747,HT747,hamba-guandosute-kipondo  ,35,136,3,1,S42,S42,Hamburger Steak,Steak,SP244,SP244,3,17
2500,1500,Tambaguchi,CT2,CT2,Tambaguchi,3,57,Yes,No,HT815,HT815,nikugaumaikafenikkusutokku  ,35,136,3,1,S42,S42,Cafe,Steak,SP190,SP190,3,823
3500,1250,Tambaguchi,CT2,CT2,Tambaguchi,3,58,Yes,Yes,HT823,HT823,okonomiyakiteppanyakimiki  ,35,136,3,1,S91,S91,Okonomiyaki,Izakaya,SP209,SP209,3,365
5500,1250,Tambaguchi,CT2,CT2,Tambaguchi,52,59,Yes,Yes,HT875,HT875,yakinikubunya  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,52,879
3500,1500,Matsuiyamate,CT20,CT20,Matsuiyamate,2,60,Yes,Yes,HT297,HT297,Kirarazaka  ,35,136,3,1,S53,S53,Izakaya,Creative cuisine,SP258,SP258,3,4530
1500,3500,Matsuiyamate,CT20,CT20,Matsuiyamate,3,61,Yes,Yes,HT876,HT876,yakinikushokudoukandon  ,35,136,3,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,3,489
2500,3500,Nagaokakyo,CT21,CT21,Nagaokakyo,2,62,Yes,No,HT591,HT591,Sumibiyakitorikajian  ,35,136,3,1,S75,S75,YakitoriGrilledChicken,Shochu Japanese Spirits,SP232,SP232,3,520
3500,2500,Kokusaikaikan,CT22,CT22,Kokusaikaikan,4,63,Yes,No,HT700,HT700,Yubasen  ,35,136,3,1,S36,S36,Tofu,Yuba,SP265,SP265,51,58
3500,3500,2.76gaokakyo,CT23,CT23,2.76gaokakyo,3,64,Yes,No,HT118,HT118,Genkiya  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,4,34
5500,2500,Sanjo,CT24,CT24,Sanjo,3,65,Yes,Yes,HT1,HT1,2.76betoshunsaitokyouryourikaryuu  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,294
35009,5500,Sanjo,CT24,CT24,Sanjo,3,66,Yes,No,HT105,HT105,Fujiya  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,66
2500,1500,Sanjo,CT24,CT24,Sanjo,3,67,Yes,Yes,HT110,HT110,GRILL&PUB The NICK STOCK  ,35,136,2,1,S43,S43,Steak,Bar,SP221,SP221,2,123
3500,1250,Sanjo,CT24,CT24,Sanjo,3,68,Yes,No,HT115,HT115,Gayagaya  ,35,136,3,1,S43,S43,Izakaya,Bar,SP258,SP258,3,621
5500,4500,Sanjo,CT24,CT24,Sanjo,3,69,Yes,Yes,HT169,HT169,Hamachou  ,35,136,3,1,S91,S91,Kaiseki Japanese,Izakaya,SP243,SP243,3,387
4500,1250,Sanjo,CT24,CT24,Sanjo,3,70,Yes,No,HT195,HT195,Ibushigin  ,35,136,3,1,S16,S16,Izakaya,Dining bar,SP258,SP258,3,11
3500,1250,Sanjo,CT24,CT24,Sanjo,4,71,Yes,No,HT240,HT240,KAZUMA  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,4,270
3500,3700,Sanjo,CT24,CT24,Sanjo,2,72,Yes,No,HT262,HT262,Kampaiboupuruda  ,35,136,3,1,S47,S47,Korean cuisine,Yakiniku BBQ Beef,SP263,SP263,2,123
3500,3700,Sanjo,CT24,CT24,Sanjo,3,73,Yes,No,HT282,HT282,Kenedhikurabu  ,35,136,3,1,S2,S2,Bar,Italian,SP218,SP218,3,63
3500,3700,Sanjo,CT24,CT24,Sanjo,4,74,Yes,No,HT303,HT303,Kizakurajirokutei  ,35,136,3,1,S64,S64,Izakaya,Kyoto Cuisine,SP258,SP258,4,270
3500,1250,Sanjo,CT24,CT24,Sanjo,3,75,Yes,No,HT308,HT308,Komefuku  ,35,136,3,1,S17,S17,Tempura,Seafood,SP264,SP264,3,10
2500,1250,Sanjo,CT24,CT24,Sanjo,3,76,Yes,No,HT32,HT32,Arufakafe  ,35,136,4,1,S43,S43,Dining bar,Bar,SP191,SP191,3,21
3500,3700,Sanjo,CT24,CT24,Sanjo,3,77,Yes,No,HT330,HT330,Kyouhonoka  ,35,136,3,1,S53,S53,Izakaya,Creative cuisine,SP258,SP258,3,88
4500,2500,Sanjo,CT24,CT24,Sanjo,3,78,Yes,No,HT397,HT397,Maruichi  ,35,136,3,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,3,11
3500,1250,Sanjo,CT24,CT24,Sanjo,3,79,Yes,Yes,HT426,HT426,Nagoyako-chintokoshitsuizakayatorisai  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,3,1070
3500,2500,Sanjo,CT24,CT24,Sanjo,3,80,Yes,Yes,HT453,HT453,Oribuoirusemmontenaorio  ,35,136,3,1,S42,S42,Bistro,Steak,SP259,SP259,3,19
2500,1250,Sanjo,CT24,CT24,Sanjo,3,81,Yes,No,HT46,HT46,Bapontochoukisshou  ,35,136,3,1,S7,S7,Bar,Pub,SP218,SP218,3,433
3500,1250,Sanjo,CT24,CT24,Sanjo,3,82,Yes,Yes,HT467,HT467,Ozabu  ,35,136,3,1,S64,S64,Izakaya,Kyoto Cuisine,SP258,SP258,3,144
3500,3300,Sanjo,CT24,CT24,Sanjo,4,83,Yes,No,HT47,HT47,Bar MICHIya  ,35,136,3,1,S43,S43,Bar,Bar,SP218,SP218,4,44
3500,1500,Sanjo,CT24,CT24,Sanjo,3,84,Yes,Yes,HT473,HT473,Pittsusarubatorekuomoandoguriru  ,35,136,3,1,S2,S2,Pizza,Italian,SP225,SP225,3,123
6500,1250,Sanjo,CT24,CT24,Sanjo,4,85,Yes,No,HT476,HT476,Pontochourobin  ,35,136,5,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,22
3500,1500,Sanjo,CT24,CT24,Sanjo,3,86,Yes,No,HT495,HT495,Resort dining&bar HaLe  ,35,136,2,1,S43,S43,Italian,Bar,SP183,SP183,3,520
3500,3700,Sanjo,CT24,CT24,Sanjo,3,87,Yes,Yes,HT521,HT521,SHUKURA  ,35,136,3,1,S78,S78,Bar,Nihonshu Japanese Sake,SP218,SP218,3,365
4500,1250,Sanjo,CT24,CT24,Sanjo,3,88,Yes,No,HT532,HT532,Sakayaagurema  ,35,136,3,1,S31,S31,Izakaya,Sukiyaki,SP258,SP258,3,24
3500,3700,Sanjo,CT24,CT24,Sanjo,2,89,Yes,No,HT557,HT557,Shisui  ,35,136,3,1,S64,S64,Izakaya,Kyoto Cuisine,SP258,SP258,2,800
3500,3700,Sanjo,CT24,CT24,Sanjo,3,90,Yes,No,HT564,HT564,Shunsaidaininguitokoya  ,35,136,3,1,S102,S102,Izakaya,Vegetable dishes,SP258,SP258,3,22
35009,1500,Sanjo,CT24,CT24,Sanjo,3,91,Yes,Yes,HT575,HT575,Soufuku  ,35,136,3,1,S20,S20,Steak,Teppanyaki,SP221,SP221,3,615
3500,1500,Sanjo,CT24,CT24,Sanjo,3,92,Yes,No,HT595,HT595,Sunny  ,35,136,3,1,S42,S42,Dining bar,Steak,SP191,SP191,3,25
6500,2500,Sanjo,CT24,CT24,Sanjo,3,93,Yes,No,HT599,HT599,Sushiyoshino  ,35,136,3,1,S94,S94,Sushi,Kappo Japanese,SP267,SP267,3,360
4500,1250,Sanjo,CT24,CT24,Sanjo,3,94,Yes,No,HT603,HT603,TENTATION  ,35,136,3,1,S2,S2,Bistro,Italian,SP259,SP259,3,618
2500,1250,Sanjo,CT24,CT24,Sanjo,2,95,Yes,No,HT619,HT619,Tanuki  ,35,136,3,1,S53,S53,Izakaya,Creative cuisine,SP258,SP258,2,355
4500,3550,Sanjo,CT24,CT24,Sanjo,3,96,Yes,No,HT657,HT657,Tsubakurosupponshokudou  ,35,136,3,1,S6,S6,Suppon Soft Shelled Turtle,Hot Pot,SP211,SP211,3,36
4500,1250,Sanjo,CT24,CT24,Sanjo,53,97,Yes,Yes,HT663,HT663,Umayakinikusemmontensakuratomomiji  ,35,136,3,1,S103,S103,Yakiniku BBQ Beef,Meat dishes,SP219,SP219,53,1070
3500,3700,Sanjo,CT24,CT24,Sanjo,3,98,Yes,No,HT667,HT667,Wakanoshizuku  ,35,136,3,1,S19,S19,Izakaya,Chanko Sumo Wrestlers Hot Pot,SP258,SP258,3,631
3500,1250,Sanjo,CT24,CT24,Sanjo,3,99,Yes,No,HT690,HT690,Yakinikushoukakuoukiyamachitei  ,35,136,3,1,S8,S8,Yakiniku BBQ Beef,Gyutan Beef tongue,SP219,SP219,3,800
5500,3550,Sanjo,CT24,CT24,Sanjo,51,100,Yes,No,HT697,HT697,Yoshina,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,51,647
3500,1250,Sanjo,CT24,CT24,Sanjo,3,101,Yes,No,HT7,HT7,Ace cafe  ,35,136,2,1,S16,S16,Cafe,Dining bar,SP190,SP190,3,128
3500,1250,Sanjo,CT24,CT24,Sanjo,3,102,Yes,No,HT722,HT722,clover  ,35,136,3,1,S2,S2,Dining bar,Italian,SP191,SP191,3,49
4500,1500,Sanjo,CT24,CT24,Sanjo,3,103,Yes,Yes,HT745,HT745,gyuukushibunzou  ,35,136,3,1,S79,S79,Izakaya,Sumibiyaki,SP258,SP258,3,722
2500,1250,Sanjo,CT24,CT24,Sanjo,3,104,Yes,No,HT75,HT75,Chizutakkarubikoshitsubaruvino  ,35,136,3,1,S16,S16,Izakaya,Dining bar,SP258,SP258,3,12
5500,2500,Sanjo,CT24,CT24,Sanjo,3,105,Yes,No,HT77,HT77,Choushuuryourikyoumon  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,109
3500,1250,Sanjo,CT24,CT24,Sanjo,3,106,Yes,No,HT776,HT776,kushiyakimanten  ,35,136,3,1,S64,S64,YakitoriGrilledChicken,Kyoto Cuisine,SP232,SP232,3,5
35009,3500,Sanjo,CT24,CT24,Sanjo,3,107,Yes,No,HT782,HT782,kyouryouriuryuu  ,35,136,3,1,S30,S30,Kaiseki Japanese,FuguBlowfish,SP243,SP243,4,347
1500,3700,Sanjo,CT24,CT24,Sanjo,2,108,Yes,No,HT789,HT789,kyoutokushidokoroazumaya  ,35,136,3,1,S91,S91,YakitoriGrilledChicken,Izakaya,SP232,SP232,2,112
3500,1500,Sanjo,CT24,CT24,Sanjo,3,109,Yes,Yes,HT797,HT797,mekishikandaininguabokado  ,35,136,4,1,S14,S14,Mexico cuisine,Cafe,SP236,SP236,3,550
3500,1250,Sanjo,CT24,CT24,Sanjo,3,110,Yes,No,HT800,HT800,miyazakikenhyuugashitsukadanoujou  ,35,136,4,1,S18,S18,Izakaya,Fowl,SP258,SP258,3,115
4500,1250,Sanjo,CT24,CT24,Sanjo,51,111,Yes,No,HT803,HT803,motsunabekamehachi  ,35,136,3,1,S91,S91,Japanese,Izakaya,SP235,SP235,51,6
3500,1500,Sanjo,CT24,CT24,Sanjo,2,112,Yes,No,HT819,HT819,nikuyanodaidokoro  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,2,116
3500,1250,Sanjo,CT24,CT24,Sanjo,3,113,Yes,Yes,HT827,HT827,oumigyuujukuseisute-kiichigo-kyu-roku  ,35,136,3,1,S47,S47,Steak,Yakiniku BBQ Beef,SP221,SP221,3,550
4500,1250,Sanjo,CT24,CT24,Sanjo,3,114,Yes,Yes,HT832,HT832,pontochoutanrakuyatoriume  ,35,136,3,1,S91,S91,YakitoriGrilledChicken,Izakaya,SP232,SP232,3,14
3500,3700,Sanjo,CT24,CT24,Sanjo,3,115,Yes,No,HT833,HT833,pontochouyakinikuyaruki  ,35,136,3,1,S43,S43,Yakiniku BBQ Beef,Bar,SP219,SP219,3,197
3500,3700,Sanjo,CT24,CT24,Sanjo,3,116,Yes,No,HT845,HT845,shunsaibaruiberiko  ,35,136,3,1,S53,S53,Dining bar,Creative cuisine,SP191,SP191,3,485
5500,1250,Sanjo,CT24,CT24,Sanjo,3,117,Yes,No,HT868,HT868,uotanafumibun  ,35,136,3,1,S64,S64,Kappo Japanese,Kyoto Cuisine,SP262,SP262,3,5
6500,1500,Sanjo,CT24,CT24,Sanjo,53,118,Yes,No,HT869,HT869,wagyuuyakinikutoku  ,35,136,4,1,S95,S95,Yakiniku BBQ Beef,Korean cuisine,SP219,SP219,53,51
2500,1250,Sanjo,CT24,CT24,Sanjo,2,119,Yes,No,HT87,HT87,Denen  ,35,136,3,1,S43,S43,Dining bar,Bar,SP191,SP191,3,2496
3500,1250,Sanjo,CT24,CT24,Sanjo,3,120,Yes,No,HT88,HT88,Domadoma  ,35,136,3,1,S54,S54,Izakaya,YakitoriGrilledChicken,SP258,SP258,3,24
2500,3550,Sanjo,CT24,CT24,Sanjo,3,121,Yes,No,HT882,HT882,yakinikuyaruki  ,35,136,3,1,S91,S91,Yakiniku BBQ Beef,Izakaya,SP219,SP219,3,360
3500,3700,Sanjo,CT24,CT24,Sanjo,3,122,Yes,No,HT884,HT884,yasaidainingukusushi  ,35,136,3,1,S91,S91,Vegetable dishes,Izakaya,SP261,SP261,3,224
2500,3700,Sanjo,CT24,CT24,Sanjo,2,123,Yes,Yes,HT887,HT887,zensekikoshitsuizakayasakurazaka  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,2,300
6500,2500,Gojo,CT25,CT25,Gojo,3,124,Yes,No,HT296,HT296,Kinugawa  ,35,136,3,1,S3,S3,Kappo Japanese,Shabu Shabu Japanese Steamboat,SP262,SP262,3,336
5500,3550,Gojo,CT25,CT25,Gojo,57,125,Yes,Yes,HT50,HT50,Baruagiyao  ,35,136,3,1,S17,S17,Bar,Seafood,SP218,SP218,57,879
12500,1250,Gojo,CT25,CT25,Gojo,3,126,Yes,No,HT636,HT636,Teppanryourihanaroku  ,35,136,3,1,S64,S64,Teppanyaki,Kyoto Cuisine,SP196,SP196,3,21
3500,1250,Gojo,CT25,CT25,Gojo,3,127,Yes,No,HT712,HT712,barchetta  ,35,136,3,1,S55,S55,Italian,Wine bar,SP183,SP183,3,118
12500,6500,Gojo,CT25,CT25,Gojo,4,128,Yes,No,HT718,HT718,chisouyouga  ,35,136,51,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,4,433
4500,3700,Gojo,CT25,CT25,Gojo,3,129,Yes,No,HT838,HT838,sakesakanatanagokoro  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,3,429
4500,1250,Gojo,CT25,CT25,Gojo,3,130,Yes,No,HT873,HT873,waintoonikudaisen  ,35,136,3,1,S47,S47,Italian,Yakiniku BBQ Beef,SP183,SP183,3,360
4500,3550,Sai,CT26,CT26,Sai,4,131,Yes,No,HT163,HT163,HOMURA  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,4,558
4500,3700,Sai,CT26,CT26,Sai,3,132,Yes,Yes,HT242,HT242,KORAN  ,35,136,3,1,S47,S47,Korean cuisine,Yakiniku BBQ Beef,SP263,SP263,3,550
2500,3500,Sai,CT26,CT26,Sai,51,133,Yes,No,HT420,HT420,Mossannobetayaki  ,35,136,3,1,S93,S93,Okonomiyaki,Horumon BBQ Offel,SP209,SP209,51,2
4500,1500,Sai,CT26,CT26,Sai,3,134,Yes,Yes,HT589,HT589,Sumibiyakinikugyuugyuutei  ,35,136,2,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,259
3500,1250,Sai,CT26,CT26,Sai,3,135,Yes,No,HT609,HT609,Taishuunikubarujuu  ,35,136,3,1,S42,S42,Bar,Steak,SP218,SP218,3,229
3500,3500,Sai,CT26,CT26,Sai,3,136,Yes,No,HT709,HT709,ajidokorosamon  ,35,136,3,1,S57,S57,Izakaya,Cuisine,SP258,SP258,3,379
3500,3700,Demachiyanagi,CT27,CT27,Demachiyanagi,2,137,Yes,No,HT33,HT33,Ashuckurk  ,35,136,3,1,S43,S43,Bistro,Bar,SP259,SP259,2,659
17500,35009,Demachiyanagi,CT27,CT27,Demachiyanagi,3,138,Yes,Yes,HT554,HT554,Shimogamosaryou  ,35,136,4,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,4,8
5500,1500,Demachiyanagi,CT27,CT27,Demachiyanagi,3,139,Yes,No,HT641,HT641,Teramachiyoshikura  ,35,136,3,1,S64,S64,Kaiseki Japanese,Kyoto Cuisine,SP243,SP243,3,201
2500,3700,Demachiyanagi,CT27,CT27,Demachiyanagi,2,140,Yes,No,HT834,HT834,rakuenzakayaannachuraru  ,35,136,3,1,S16,S16,Izakaya,Dining bar,SP258,SP258,2,360
2500,1250,Kitano Hakubaicho,CT28,CT28,Kitano Hakubaicho,3,141,Yes,Yes,HT158,HT158,Gyouzamatsukichi  ,35,136,3,1,S91,S91,Dumplings,Izakaya,SP268,SP268,3,85
6500,3500,Kitano Hakubaicho,CT28,CT28,Kitano Hakubaicho,3,142,Yes,No,HT317,HT317,Kurosuke  ,35,136,3,1,S36,S36,Tofu,Yuba,SP265,SP265,3,570
4500,3700,Kitano Hakubaicho,CT28,CT28,Kitano Hakubaicho,52,143,Yes,Yes,HT73,HT73,Chiritorinabeiyama  ,35,136,3,1,S95,S95,Chiritori,Korean cuisine,SP215,SP215,52,21
3500,3700,Kitano Hakubaicho,CT28,CT28,Kitano Hakubaicho,3,144,Yes,Yes,HT802,HT802,momojirouichiba  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,3,550
3500,3700,Jingu Marutamachi,CT29,CT29,Jingu Marutamachi,3,145,Yes,Yes,HT209,HT209,Ilifune  ,35,136,3,1,S2,S2,Dining bar,Italian,SP191,SP191,3,722
5500,2500,Jingu Marutamachi,CT29,CT29,Jingu Marutamachi,58,146,Yes,No,HT259,HT259,Kamogawatakashi  ,35,136,4,1,S65,S65,Yakiniku BBQ Beef,Kaiseki Japanese,SP219,SP219,59,160
3500,2500,Jingu Marutamachi,CT29,CT29,Jingu Marutamachi,3,147,Yes,No,HT423,HT423,Nagagutsutei  ,35,136,2,1,S45,S45,Pasta,Pizza,SP212,SP212,2,535
